Sim_ID,Total_Rounds,Alive_Ratio,Remaining_HP_Ratio,YinYang_Deviation,Skill_Aggressive,Skill_Heal,Skill_Utility,Skill_Defensive,Turn_Skip_Ratio,Corrosion_Revert_Ratio
1,2,1.000,0.991,0.0,0.800,0.000,0.400,0.000,0.000,0.000
2,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
3,1,1.000,0.989,0.0,1.000,0.000,0.000,0.000,0.000,0.000
4,2,1.000,0.991,0.0,0.800,0.000,0.600,0.000,0.000,0.000
5,1,1.000,0.986,0.0,1.000,0.000,0.000,0.000,0.000,0.000
6,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
7,1,1.000,1.000,0.0,0.667,0.000,0.000,0.000,0.000,0.000
8,2,1.000,1.000,0.0,0.800,0.000,0.600,0.000,0.000,0.000
9,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
10,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
11,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
12,2,1.000,1.000,0.0,0.833,0.000,0.500,0.000,0.000,0.000
13,2,1.000,1.000,0.0,0.667,0.000,0.500,0.000,0.000,0.000
14,2,1.000,0.989,0.0,0.600,0.000,0.400,0.000,0.000,0.000
15,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
16,2,1.000,0.991,0.0,0.600,0.000,0.800,0.000,0.000,0.000
17,1,1.000,1.000,0.0,0.750,0.000,0.500,0.000,0.000,0.000
18,2,1.000,1.000,0.0,0.833,0.000,0.667,0.000,0.000,0.000
19,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
20,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
21,2,1.000,0.991,0.0,0.600,0.000,0.600,0.000,0.000,0.000
22,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
23,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
24,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
25,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
26,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
27,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
28,4,1.000,0.959,11.3,0.385,0.077,0.615,0.000,0.000,0.000
29,2,1.000,0.989,0.0,1.000,0.000,0.400,0.000,0.000,0.000
30,2,1.000,0.991,0.0,0.625,0.000,0.500,0.000,0.000,0.000
31,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
32,2,1.000,0.986,0.0,0.800,0.000,0.600,0.000,0.000,0.000
33,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
34,2,1.000,0.989,0.0,0.800,0.000,0.600,0.000,0.000,0.000
35,1,1.000,0.991,0.0,1.000,0.000,0.000,0.000,0.000,0.000
36,1,1.000,1.000,0.0,1.000,0.000,0.333,0.000,0.000,0.000
37,1,1.000,0.970,0.0,1.000,0.000,0.333,0.000,0.000,0.000
38,1,1.000,1.000,0.0,0.667,0.000,0.333,0.000,0.000,0.000
39,1,1.000,0.991,0.0,1.000,0.000,0.000,0.000,0.000,0.000
40,2,1.000,0.989,0.0,0.600,0.000,0.400,0.000,0.000,0.000
41,2,1.000,0.991,0.0,0.500,0.000,0.500,0.000,0.000,0.000
42,1,1.000,0.986,0.0,1.000,0.000,0.333,0.000,0.000,0.000
43,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
44,2,1.000,0.986,0.0,1.000,0.000,0.400,0.000,0.000,0.000
45,2,1.000,0.991,0.0,0.600,0.000,0.800,0.000,0.000,0.000
46,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
47,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
48,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
49,2,1.000,0.989,0.0,1.000,0.000,0.400,0.000,0.000,0.000
