Sim_ID,Total_Rounds,Alive_Ratio,Remaining_HP_Ratio,YinYang_Deviation,Skill_Aggressive,Skill_Heal,Skill_Utility,Skill_Defensive,Turn_Skip_Ratio,Corrosion_Revert_Ratio
1,3,1.000,0.912,0.0,0.667,0.222,0.333,0.000,0.000,0.000
2,3,1.000,1.000,0.0,0.667,0.222,0.333,0.000,0.000,0.000
3,2,1.000,0.954,0.0,0.833,0.167,0.167,0.000,0.000,0.000
4,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
5,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
6,3,1.000,0.982,0.0,0.556,0.222,0.222,0.000,0.000,0.000
7,2,1.000,1.000,0.0,0.667,0.167,0.333,0.000,0.000,0.000
8,2,1.000,1.000,0.0,0.833,0.167,0.167,0.000,0.000,0.000
9,2,1.000,0.958,0.0,0.833,0.167,0.167,0.000,0.000,0.000
10,2,1.000,1.000,0.0,0.667,0.167,0.167,0.000,0.000,0.000
11,2,1.000,1.000,0.0,0.833,0.167,0.167,0.000,0.000,0.000
12,2,1.000,1.000,0.0,0.600,0.200,0.200,0.000,0.000,0.000
13,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
14,2,1.000,1.000,0.0,0.600,0.200,0.200,0.000,0.000,0.000
15,3,1.000,1.000,0.0,0.556,0.222,0.333,0.000,0.000,0.000
16,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
17,2,1.000,1.000,0.0,0.800,0.200,0.200,0.000,0.000,0.000
18,2,1.000,1.000,0.0,0.600,0.200,0.200,0.000,0.000,0.000
19,2,1.000,1.000,0.0,0.667,0.167,0.333,0.000,0.000,0.000
20,2,1.000,1.000,0.0,0.667,0.167,0.333,0.000,0.000,0.000
21,2,1.000,0.969,0.0,0.833,0.167,0.333,0.000,0.000,0.000
22,2,1.000,1.000,0.0,0.667,0.167,0.333,0.000,0.000,0.000
23,3,1.000,0.947,0.0,0.700,0.200,0.300,0.000,0.000,0.000
24,3,1.000,0.908,0.0,0.556,0.222,0.222,0.000,0.000,0.000
25,2,1.000,1.000,0.0,0.600,0.200,0.200,0.000,0.000,0.000
26,3,1.000,0.943,0.0,0.556,0.222,0.333,0.000,0.000,0.000
27,2,1.000,1.000,0.0,0.667,0.167,0.167,0.000,0.000,0.000
28,2,1.000,1.000,0.0,0.600,0.200,0.200,0.000,0.000,0.000
29,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
30,2,1.000,1.000,0.0,0.667,0.167,0.333,0.000,0.000,0.000
31,3,1.000,0.939,0.0,0.556,0.222,0.222,0.000,0.000,0.000
32,2,1.000,1.000,0.0,0.833,0.167,0.167,0.000,0.000,0.000
33,3,1.000,1.000,0.0,0.556,0.222,0.333,0.000,0.000,0.000
34,3,1.000,1.000,0.0,0.667,0.222,0.333,0.000,0.000,0.000
35,2,1.000,1.000,0.0,0.833,0.167,0.333,0.000,0.000,0.000
36,2,1.000,1.000,0.0,0.667,0.167,0.167,0.000,0.000,0.000
37,2,1.000,1.000,0.0,0.833,0.167,0.333,0.000,0.000,0.000
38,2,1.000,1.000,0.0,0.600,0.200,0.200,0.000,0.000,0.000
39,3,1.000,1.000,0.0,0.556,0.222,0.333,0.000,0.000,0.000
40,2,1.000,0.950,0.0,0.833,0.167,0.333,0.000,0.000,0.000
