Sim_ID,Total_Rounds,Alive_Ratio,Remaining_HP_Ratio,YinYang_Deviation,Skill_Aggressive,Skill_Heal,Skill_Utility,Skill_Defensive,Turn_Skip_Ratio,Corrosion_Revert_Ratio
1,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
2,2,1.000,0.969,0.0,0.800,0.000,0.400,0.000,0.000,0.000
3,2,1.000,0.992,0.0,0.800,0.000,0.400,0.000,0.000,0.000
4,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
5,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
6,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
7,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
8,3,1.000,0.973,0.0,0.556,0.000,0.667,0.000,0.000,0.000
9,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
10,1,1.000,1.000,0.0,0.500,0.000,0.500,0.000,0.000,0.000
11,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
12,1,1.000,1.000,0.0,0.667,0.000,0.333,0.000,0.000,0.000
13,2,1.000,1.000,0.0,0.600,0.000,0.800,0.000,0.000,0.000
14,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
15,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
16,2,1.000,0.990,0.0,0.800,0.000,0.400,0.000,0.000,0.000
17,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
18,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
19,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
20,3,1.000,0.992,0.0,0.556,0.000,0.667,0.000,0.000,0.000
21,2,1.000,1.000,0.0,0.667,0.000,0.500,0.000,0.000,0.000
22,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
23,2,1.000,1.000,0.0,0.667,0.000,0.667,0.000,0.000,0.000
24,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
25,3,1.000,1.000,0.0,0.556,0.000,0.667,0.000,0.000,0.000
26,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
