Sim_ID,Total_Rounds,Alive_Ratio,Remaining_HP_Ratio,YinYang_Deviation,Skill_Aggressive,Skill_Heal,Skill_Utility,Skill_Defensive,Turn_Skip_Ratio,Corrosion_Revert_Ratio
1,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
2,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
3,2,1.000,1.000,0.0,0.667,0.000,0.333,0.000,0.000,0.000
4,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
5,3,1.000,0.919,0.0,0.667,0.000,0.222,0.000,0.000,0.000
6,2,1.000,1.000,0.0,0.833,0.000,0.333,0.000,0.000,0.000
7,2,1.000,1.000,0.0,0.667,0.000,0.333,0.000,0.000,0.000
8,2,1.000,1.000,0.0,0.600,0.000,0.200,0.000,0.000,0.000
9,2,1.000,0.982,0.0,0.667,0.000,0.333,0.000,0.000,0.000
10,3,1.000,0.990,0.0,0.556,0.000,0.444,0.000,0.000,0.000
11,2,1.000,1.000,0.0,0.800,0.000,0.200,0.000,0.000,0.000
12,2,1.000,1.000,0.0,0.600,0.000,0.200,0.000,0.000,0.000
13,3,1.000,0.899,0.0,0.556,0.000,0.444,0.000,0.000,0.000
14,3,1.000,0.907,0.0,0.556,0.000,0.444,0.000,0.000,0.000
15,2,1.000,1.000,0.0,0.571,0.000,0.286,0.000,0.000,0.000
16,2,1.000,1.000,0.0,0.667,0.000,0.333,0.000,0.000,0.000
17,1,1.000,1.000,0.0,1.000,0.000,0.000,0.000,0.000,0.000
18,2,1.000,1.000,0.0,0.833,0.000,0.167,0.000,0.000,0.000
19,2,1.000,1.000,0.0,0.600,0.000,0.200,0.000,0.000,0.000
20,2,1.000,1.000,0.0,0.667,0.000,0.167,0.000,0.000,0.000
21,2,1.000,1.000,0.0,0.800,0.000,0.200,0.000,0.000,0.000
22,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
23,2,1.000,1.000,0.0,0.600,0.000,0.200,0.000,0.000,0.000
24,3,1.000,0.899,0.0,0.700,0.000,0.300,0.000,0.000,0.000
25,2,1.000,1.000,0.0,0.800,0.000,0.200,0.000,0.000,0.000
26,2,1.000,1.000,0.0,0.667,0.000,0.500,0.000,0.000,0.000
27,2,1.000,1.000,0.0,0.667,0.000,0.333,0.000,0.000,0.000
