Sim_ID,Result,Total_Rounds,P_Alive_Count,E_Alive_Count,P_Remain_HP_Ratio,E_Remain_HP_Ratio,P_Corrosion_Deaths,E_Corrosion_Deaths,P_Tendency_Distribution,E_Tendency_Distribution,P_Dmg_Split,E_Dmg_Split,P_Heal_Done,E_Heal_Done,P_Status_Impact,E_Status_Impact,P_Skill_Counters,E_Skill_Counters
1,PlayerWin,3,4,0,91.2,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:237|Status:0,Direct:58|Status:0,81,0,None,None,Ult:1|Norm:8,Norm:3
2,PlayerWin,3,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:236|Status:0,Direct:13|Status:0,75,0,None,None,Ult:1|Norm:8,Norm:3
3,PlayerWin,2,4,0,95.4,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:248|Status:0,Direct:25|Status:0,42,0,None,None,Ult:1|Norm:5,Norm:2
4,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:237|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
5,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:243|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
6,PlayerWin,3,4,0,98.2,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:238|Status:0,Direct:10|Status:0,88,0,None,None,Ult:1|Norm:8,Norm:4
7,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:261|Status:0,Direct:0|Status:0,54,0,None,None,Ult:1|Norm:5,Norm:1
8,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:244|Status:0,Direct:0|Status:0,51,0,None,None,Ult:1|Norm:5,Norm:2
9,PlayerWin,2,4,0,95.8,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:250|Status:0,Direct:23|Status:0,48,0,None,None,Ult:1|Norm:5,Norm:2
10,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:246|Status:0,Direct:0|Status:0,42,0,None,None,Norm:5|Ult:1,Norm:2
11,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:245|Status:0,Direct:0|Status:0,45,0,None,None,Ult:1|Norm:5,Norm:2
12,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:257|Status:0,Direct:0|Status:0,48,0,None,None,Ult:1|Norm:4,Norm:1
13,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:235|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
14,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:269|Status:0,Direct:0|Status:0,51,0,None,None,Norm:4|Ult:1,Norm:1
15,PlayerWin,3,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:244|Status:0,Direct:0|Status:0,90,0,None,None,Ult:1|Norm:8,Norm:3
16,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:235|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
17,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:235|Status:0,Direct:0|Status:0,54,0,None,None,Ult:1|Norm:4,Norm:1
18,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2|Heal:4,Utility:4|Aggressive:10|DebuffToEnemy:4|BuffToAlly:2,Direct:259|Status:0,Direct:0|Status:0,45,0,None,None,Ult:1|Norm:4,Norm:1
