Sim_ID,Result,Total_Rounds,P_Alive_Count,E_Alive_Count,P_Remain_HP_Ratio,E_Remain_HP_Ratio,P_Corrosion_Deaths,E_Corrosion_Deaths,P_Tendency_Distribution,E_Tendency_Distribution,P_Dmg_Split,E_Dmg_Split,P_Heal_Done,E_Heal_Done,P_Status_Impact,E_Status_Impact,P_Skill_Counters,E_Skill_Counters
1,Draw/Timeout,100,1,1,16.4,22.6,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:491|Status:0,Direct:392|Status:0,0,0,None,None,Norm:86|Ult:1,Norm:105|Ult:1
2,Draw/Timeout,100,1,1,14.0,37.4,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:417|Status:0,Direct:395|Status:0,0,0,None,None,Norm:76|Ult:1,Norm:70|Ult:1
3,Draw/Timeout,100,1,1,16.6,36.2,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:404|Status:0,Direct:397|Status:0,0,0,None,None,Ult:1|Norm:78,Norm:76|Ult:1
4,Draw/Timeout,100,1,1,6.0,33.8,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:421|Status:0,Direct:427|Status:0,0,0,None,None,Norm:77|Ult:1,Norm:71|Ult:2
5,Draw/Timeout,100,1,1,5.8,35.7,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:418|Status:0,Direct:434|Status:0,0,0,None,None,Norm:76|Ult:1,Norm:72|Ult:2
6,Draw/Timeout,100,1,1,4.8,36.3,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:407|Status:0,Direct:442|Status:0,0,0,None,None,Ult:1|Norm:76,Norm:67|Ult:2
7,Draw/Timeout,100,1,1,13.5,41.6,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:369|Status:0,Direct:395|Status:0,0,0,None,None,Norm:72|Ult:1,Norm:70|Ult:1
8,Draw/Timeout,100,1,1,15.4,38.6,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:403|Status:0,Direct:382|Status:0,0,0,None,None,Norm:76|Ult:1,Norm:72|Ult:1
9,Draw/Timeout,100,1,1,3.1,32.0,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:433|Status:0,Direct:480|Status:0,0,0,None,None,Norm:79|Ult:1,Norm:75|Ult:2
10,Draw/Timeout,100,1,1,5.5,34.1,0,0,Utility:6|Aggressive:12|DebuffToEnemy:6|BuffToAlly:2,Utility:7|DebuffToEnemy:6|Aggressive:15|BuffToAlly:2,Direct:433|Status:0,Direct:455|Status:0,0,0,None,None,Norm:79|Ult:1,Norm:76|Ult:2
