Sim_ID,Result,Total_Rounds,P_Alive_Count,E_Alive_Count,P_Remain_HP_Ratio,E_Remain_HP_Ratio,P_Corrosion_Deaths,E_Corrosion_Deaths,P_Tendency_Distribution,E_Tendency_Distribution,P_Dmg_Split,E_Dmg_Split,P_Heal_Done,E_Heal_Done,P_Status_Impact,E_Status_Impact,P_Skill_Counters,E_Skill_Counters
1,PlayerWin,2,4,0,99.1,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:235|Status:0,Direct:4|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:1
2,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:253|Status:0,Direct:0|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:1
3,PlayerWin,1,4,0,98.9,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:223|Status:0,Direct:5|Status:0,0,0,None,None,Ult:1|Norm:1,Norm:1
4,PlayerWin,2,4,0,99.1,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:250|Status:0,Direct:4|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:2
5,PlayerWin,1,4,0,98.6,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:238|Status:0,Direct:6|Status:0,0,0,None,None,Ult:1|Norm:1,Norm:2
6,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:259|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
7,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:227|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:2,None
8,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:260|Status:0,Direct:0|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:2
9,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:275|Status:0,Direct:0|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:1
10,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:246|Status:0,Direct:0|Status:0,0,0,None,None,Norm:4|Ult:1,None
11,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:244|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,Norm:1
12,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:225|Status:0,Direct:0|Status:0,0,0,None,None,Norm:5|Ult:1,Norm:2
13,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:231|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
14,PlayerWin,2,4,0,98.9,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:262|Status:0,Direct:5|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:2
15,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:225|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
16,PlayerWin,2,4,0,99.1,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:241|Status:0,Direct:4|Status:0,0,0,None,None,Norm:4|Ult:1,Norm:1
17,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:241|Status:0,Direct:0|Status:0,0,0,None,None,Norm:3|Ult:1,None
18,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:10|Aggressive:11|DebuffToEnemy:2|Heal:1|BuffToAlly:2,Utility:4|Aggressive:8|DebuffToEnemy:5|BuffToAlly:2,Direct:245|Status:0,Direct:0|Status:0,0,0,None,None,Norm:5|Ult:1,Norm:1
